Organisation ID,Name,Organisation type,Size of Organisation,Twitter,Website,Logo file,Site ID,Latitude,Longitude,Address ID,Street Address,Postcode,Region,Country,Location
6a6792ae-d9b0-5084-8b5b-92d357824c5d,Freedom of Information Foundation,social-enterprise-charity-or-foundation,11-25 people,Svobodainfo,en,original.JPG?1406878404,e1ce263b-af27-32a5-90e6-ea4e4fb5d2be,59.910589,30.346127,4029a482-c1db-8208-7a5d-d45196093c2b,"Voronezhskaya, 33",192007,Russia,Russian Federation,Saint-Petersburg
4fdcd871-4890-26c1-7102-b1e2474bfaf8,IMI Barcelona,,,,,,,,,,,,,,
e1fb90da-c467-56e5-9f0d-8cc87d811785,One Architecture,business,0-5 people,,www.onearchitecture.nl,original.png?1436863749,8d64a01d-0cbc-b7d7-5ed1-a22b07a09c12,52.515571,5.040017,32190b69-7bec-de4a-80dc-c3f6a1c2c6fb,Hamerstraat 3,1021 JT,,Netherlands,Amsterdam
3a8a82af-24d3-219b-96f3-8693bfea3979,JBQAM,business,26-50 people,,JBPSZ.com,,e2183476-c7a5-6f36-9ecd-b40d663e6f1d,48.806863,14.414062,cb937908-948b-d975-e17c-9afa8d9cd4a3,CJEIZlevzo,66655,v zjdkOVZ,Bulgaria,JVZkiobve
3b95cf05-b226-abaf-9e77-998d9ebbe909,Buy2essays.com,academia-and-research,6-10 people,,buy2essays.com,original.png?1445505368,7308e6b1-82e6-87b7-2835-6d342d714ab1,34.077235,-118.19371,2c064a60-f306-f02c-9918-65e392f14f13,260 S Soto St,90023,CA,United States,Los Angeles
b8b1234a-54ae-f1a0-9d66-980e7a321975,Bretagne Creative,grass-roots-organization-or-community-network,0-5 people,,www.bretagne-creative.net,original.jpg?1413381417,3e80e2f0-983d-a3c6-4d89-035076185d96,48.364994,-3.382072,8d2491ee-f120-0c68-eca8-b8b20e842d4d,Brittany,,,France,Brittany
841b55c9-d2a8-6d2d-f5ed-0af615ab3289,greenApes,business,6-10 people,GreenApesJungle,www.greenapes.com,,c2226eb4-7aa3-a39f-b83c-ad711906a307,41.886943,12.491455,723d1622-b55f-0b29-b8f9-7635a92a8e1a,Piazza G. Ceroni 5,189,ROME,Italy,ROME
9b9aa648-8c0a-9bc6-1957-45153db1eb71,Barcelona City Council,government-and-public-sector,6-10 people,cic_barcelona,www.cicbarcelona.cat,,0e8540b3-b24b-6086-0f58-154cca2207b4,41.402418,2.192687,013eb093-5da3-0a58-65d3-eea77c8f1669,"Tanger, 98",8018,,Spain,Barcelona
03d14ade-feeb-a92f-7b55-2423c6f13ec9,Social Experience,business,0-5 people,socialexperien2,www.socialexperience.it,original.png?1409147557,7a6922d4-ac16-12e0-92b6-8b839ede5bfa,44.98957,9.007416,0c30670a-c25e-a882-b75c-6833b0dfbc46,viale montebello 14,27058,Pavia,Italy,Voghera
ca6db482-f07b-27fc-723b-80e3db981387,CircularSociety AG,business,0-5 people,CircularSociety,www.circularsociety.com,original.jpg?1419839356,b39611a2-f8d7-0efb-23f5-c233d046998c,47.170773,8.515984,5e35002b-caa8-0357-d966-0c9e14e6db89,Baarerstr. 14,6300,,Switzerland,Zug
6876227a-d172-3e1a-fb34-6d91bb2efffc,Alfamicro,business,11-25 people,,www.alfamicro.pt,original.jpg?1379283607,16a4a62d-da5f-eed6-f026-c9c59e04e17f,38.698703,-9.439589,0150e41b-c835-a598-2d2e-513a5916b9e4,Alameda da Guia 192A,2750-368,,Portugal,Cascais
6d2e27be-a64a-8265-a3f5-b432a54b2eca,DCLG,government-and-public-sector,over-1000 people,,,,35706144-7d28-b2a0-60c9-8ff6cafb8a80,51.497977,-0.142436,283c7025-102f-37ee-1f76-9888223711f7,Bressenden Place,SW1E 5DU,,United Kingdom,London
1fbcf5c3-b55b-81dd-3ced-c70df2a18d70,Instituto de Biocomputacion y Fisica de Sistemas Complejos (BIFI) de la Universidad de Zaragoza,academia-and-research,51-100 people,BIFI_Instituto,bifi.unizar.es,original.png?1409224855,3c5ae9ed-b025-bb99-5dbe-8cf3cf3f7e52,41.681246,-0.888004,7e55007e-f912-a68d-e9a9-877edb51548e,n Edificio I+D,50018,Spain,Spain,Zaragoza
844c7cc3-627c-4bd8-5415-b7c06b83ef6f,Reason Digital,business,26-50 people,ReasonDigital,reason.digital,original.png?1425292004,f90c426c-ead5-6bec-5fcd-6658919aca8a,53.48244,-2.234162,e9114568-704d-eb2a-7714-354dcbf51fb6,26 Lever Street,M1 1DW,Greater Manchester,United Kingdom,Manchester
e50a5198-fa5d-c014-6088-86a4f15b1905,Melbourne Social Equity Institute,academia-and-research,0-5 people,,,,525668c8-377a-d87b-ff98-6b636538669e,-37.796689,144.964568,1a535503-c8c9-16cd-a523-2579a72423bd,Swanston Street,3052,"Melbourne, Victoria",Australia,Parkville
